Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Allow customer reviews?","Regular price",Categories,Tags,Images,Parent,Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _virtual","Meta: bville_id"
simple,BVL-GARDEN-HOUSE,House,1,0,visible,"Romaine lettuce, tomatoes, cucumbers, carrots & red onions with oil & vinegar","Romaine lettuce, tomatoes, cucumbers, carrots & red onions with oil & vinegar",taxable,,1,,0,0,0,7.95,"From The Garden","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/garden-house.jpg,,0,,,,,yes,garden-house
simple,BVL-GARDEN-GREEK,Greek,1,0,visible,"Romaine lettuce, tomatoes, cucumbers, olives, red onions & feta cheese with greek vinaigrette","Romaine lettuce, tomatoes, cucumbers, olives, red onions & feta cheese with greek vinaigrette",taxable,,1,,0,0,0,9.95,"From The Garden","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/garden-greek.jpg,,1,,,,,yes,garden-greek
simple,BVL-GARDEN-CAESAR,Caesar,1,0,visible,"Romaine lettuce with our freshly made Caesar dressing, parmesan cheese & croûtons","Romaine lettuce with our freshly made Caesar dressing, parmesan cheese & croûtons",taxable,,1,,0,0,0,7.95,"From The Garden","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/garden-caesar.jpg,,2,,,,,yes,garden-caesar
simple,BVL-GARDEN-SPINACH,"Baby Spinach",1,0,visible,"Spinach, strawberries, walnuts & goat cheese with balsamic vinaigrette","Spinach, strawberries, walnuts & goat cheese with balsamic vinaigrette",taxable,,1,,0,0,0,9.95,"From The Garden","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/garden-spinach.jpg,,3,,,,,yes,garden-spinach
simple,BVL-GARDEN-ARUGULA,Arugula,1,0,visible,"Roasted red peppers, red onions, Parmesan cheese, with balsamic glaze","Roasted red peppers, red onions, Parmesan cheese, with balsamic glaze",taxable,,1,,0,0,0,9.95,"From The Garden","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/garden-arugula.jpg,,4,,,,,yes,garden-arugula
simple,BVL-GARDEN-COBB,Cobb,1,0,visible,"Mixed greens, tomatoes, cucumbers, boiled egg, crumbled blue cheese, bacon, & avocado with balsamic vinaigrette","Mixed greens, tomatoes, cucumbers, boiled egg, crumbled blue cheese, bacon, & avocado with balsamic vinaigrette",taxable,,1,,0,0,0,9.95,"From The Garden","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/garden-cobb.jpg,,5,,,,,yes,garden-cobb
simple,BVL-GARDEN-MIXED-GREENS,"Mixed Greens",1,0,visible,"Tomato, onion, cucumber, carrots & fresh mozzarella with raspberry vinaigrette","Tomato, onion, cucumber, carrots & fresh mozzarella with raspberry vinaigrette",taxable,,1,,0,0,0,9.95,"From The Garden","Bville Menu",http://127.0.0.1:8080/assets/photos/menu/garden-mixed-greens.jpg,,6,,,,,yes,garden-mixed-greens
variable,BVL-STARTERS-WINGS,"Homemade Wings",1,0,visible,"Choice of bone-in or boneless (white meat) served with carrots, celery; buffalo, teriyaki, BBQ or sweet chili","Choice of bone-in or boneless (white meat) served with carrots, celery; buffalo, teriyaki, BBQ or sweet chili",taxable,,1,,0,0,0,,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-wings.jpg,,7,Count,"6 | 12",1,0,yes,starters-wings
variation,BVL-STARTERS-WINGS-6,"Homemade Wings - 6",1,0,visible,,,taxable,,1,,0,0,0,8.95,,,http://127.0.0.1:8080/assets/photos/menu/starters-wings.jpg,BVL-STARTERS-WINGS,0,Count,6,1,0,yes,starters-wings
variation,BVL-STARTERS-WINGS-12,"Homemade Wings - 12",1,0,visible,,,taxable,,1,,0,0,0,14.95,,,http://127.0.0.1:8080/assets/photos/menu/starters-wings.jpg,BVL-STARTERS-WINGS,1,Count,12,1,0,yes,starters-wings
simple,BVL-STARTERS-MOZZARELLA-STICKS,"Mozzarella Sticks",1,0,visible,"Golden-fried & served with marinara sauce","Golden-fried & served with marinara sauce",taxable,,1,,0,0,0,7.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-mozzarella-sticks.jpg,,8,,,,,yes,starters-mozzarella-sticks
simple,BVL-STARTERS-FRIED-CALAMARI,"Fried Calamari",1,0,visible,"Choice of spicy or sweet marinara","Choice of spicy or sweet marinara",taxable,,1,,0,0,0,10.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-fried-calamari.jpg,,9,,,,,yes,starters-fried-calamari
simple,BVL-STARTERS-MAC-BITES,"Mac & Cheese Bites",1,0,visible,"Golden-fried & served with marinara sauce","Golden-fried & served with marinara sauce",taxable,,1,,0,0,0,7.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-mac-bites.jpg,,10,,,,,yes,starters-mac-bites
simple,BVL-STARTERS-HUMMUS,Hummus,1,0,visible,"Homemade blended chick peas, lemon & tahini (pita or veggie)","Homemade blended chick peas, lemon & tahini (pita or veggie)",taxable,,1,,0,0,0,7.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-hummus.jpg,,11,,,,,yes,starters-hummus
simple,BVL-STARTERS-FALAFEL,Falafel,1,0,visible,"Ground mix of chick peas, onion, garlic & parsley with our secret spices","Ground mix of chick peas, onion, garlic & parsley with our secret spices",taxable,,1,,0,0,0,7.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-falafel.jpg,,12,,,,,yes,starters-falafel
simple,BVL-STARTERS-DUMPLINGS,"Teriyaki Dumplings",1,0,visible,"Fried chicken dumplings served with teriyaki sauce","Fried chicken dumplings served with teriyaki sauce",taxable,,1,,0,0,0,7.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-dumplings.jpg,,13,,,,,yes,starters-dumplings
simple,BVL-STARTERS-BUFFALO-MAC,"Buffalo Chicken Mac & Cheese",1,0,visible,,,taxable,,1,,0,0,0,9.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-buffalo-mac.jpg,,14,,,,,yes,starters-buffalo-mac
simple,BVL-STARTERS-NUGGETS,"Chicken Nuggets & Fries",1,0,visible,"6 chicken nuggets with sauce","6 chicken nuggets with sauce",taxable,,1,,0,0,0,7.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-nuggets.jpg,,15,,,,,yes,starters-nuggets
simple,BVL-STARTERS-TENDERS,"Chicken Tenders",1,0,visible,"5 chicken tenders with fries & sauce","5 chicken tenders with fries & sauce",taxable,,1,,0,0,0,7.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-tenders.jpg,,16,,,,,yes,starters-tenders
simple,BVL-STARTERS-RICE,Rice,1,0,visible,,,taxable,,1,,0,0,0,3.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-rice.jpg,,17,,,,,yes,starters-rice
simple,BVL-STARTERS-SWEET-POTATO-FRIES,"Sweet Potato Fries",1,0,visible,,,taxable,,1,,0,0,0,3.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-sweet-potato-fries.jpg,,18,,,,,yes,starters-sweet-potato-fries
simple,BVL-STARTERS-FRENCH-FRIES,"French Fries",1,0,visible,,,taxable,,1,,0,0,0,3.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-french-fries.jpg,,19,,,,,yes,starters-french-fries
simple,BVL-STARTERS-DISCO-FRIES,"Disco Fries",1,0,visible,,,taxable,,1,,0,0,0,6.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-disco-fries.jpg,,20,,,,,yes,starters-disco-fries
simple,BVL-STARTERS-ONION-RINGS,"Onion Rings",1,0,visible,,,taxable,,1,,0,0,0,5.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-onion-rings.jpg,,21,,,,,yes,starters-onion-rings
simple,BVL-STARTERS-SAUTEED-VEGGIE,"Sautéed Veggie",1,0,visible,,,taxable,,1,,0,0,0,4.95,Starters,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/starters-sauteed-veggie.jpg,,22,,,,,yes,starters-sauteed-veggie
simple,BVL-SHAKES-MILKSHAKE,Milkshake,1,0,visible,"NutterButter, Cookies & Cream, Chocolate, Vanilla, Strawberry","NutterButter, Cookies & Cream, Chocolate, Vanilla, Strawberry",taxable,,1,,0,0,0,4.95,Shakes,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/shakes-milkshake.jpg,,23,,,,,yes,shakes-milkshake
simple,BVL-BURGERS-CLASSIC,Classic,1,0,visible,"With lettuce, tomato & onion","With lettuce, tomato & onion",taxable,,1,,0,0,0,9.95,Burgers,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/burgers-classic.jpg,,24,,,,,yes,burgers-classic
simple,BVL-BURGERS-CHEESE-DELUXE,"Cheese Deluxe",1,0,visible,"With lettuce, tomato, onion & American cheese","With lettuce, tomato, onion & American cheese",taxable,,1,,0,0,0,10.95,Burgers,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/burgers-cheese-deluxe.jpg,,25,,,,,yes,burgers-cheese-deluxe
simple,BVL-BURGERS-THE-FRY,"The Fry",1,0,visible,"Breaded chicken cutlet, coleslaw & pickles with fry sauce","Breaded chicken cutlet, coleslaw & pickles with fry sauce",taxable,,1,,0,0,0,10.95,Burgers,"Bville Menu",http://127.0.0.1:8080/assets/photos/menu/burgers-the-fry.jpg,,26,,,,,yes,burgers-the-fry
